Rank,Title,Score,Chapters/Volumes,Published
177,Look Back,8.41,Manga (1 vols),Jul 2021 - Jul 2021
178,Umineko no Naku Koro ni Chiru - Episode 6: Dawn of the Golden Witch,8.41,Manga (6 vols),Nov 2010 - Nov 2012
179,Noragami,8.41,Manga (? vols),Dec 2010 -
180,No.6,8.41,Novel (9 vols),Oct 2003 - Jun 2011
181,Imawa no Kuni no Alice,8.41,Manga (18 vols),Nov 2010 - Mar 2016
182,Tobaku Mokushiroku Kaiji,8.41,Manga (13 vols),Feb 1996 - Jul 1999
183,Dragon Ball,8.40,Manga (42 vols),Nov 1984 - May 1995
184,Basara,8.40,Manga (27 vols),Aug 1990 - May 1998
185,Kaichou wa Maid-sama!,8.40,Manga (18 vols),Dec 2005 - Sep 2013
186,Tobaku Hakairoku Kaiji,8.40,Manga (13 vols),Nov 2000 - Apr 2004
187,Juuni Kokuki,8.40,Light Novel (? vols),Jun 1992 -
188,My Girl,8.40,Manga (5 vols),Jun 2006 - Sep 2010
189,Bakuman.,8.40,Manga (20 vols),Aug 2008 - Apr 2012
190,Hoshi no Samidare,8.40,Manga (10 vols),Jun 2005 - Aug 2010
191,Toaru Majutsu no Index,8.40,Light Novel (22 vols),Apr 2004 - Oct 2010
192,Yubisaki to Renren,8.40,Manga (? vols),Jul 2019 -
193,The Boxer,8.40,Manhwa (? vols),Dec 2019 - May 2022
194,Kimi no Na wa.,8.40,Manga (3 vols),May 2016 - Jan 2017
195,Song of the Long March,8.40,Manhua (? vols),Feb 2011 -
196,Koe no Katachi,8.40,One-shot (? vols),Jan 2011 - Jan 2011
197,Tensei shitara Slime Datta Ken,8.40,Manga (? vols),Mar 2015 -
198,Kiseijuu,8.39,Manga (10 vols),Nov 1989 - Dec 1995
199,Hadashi no Gen,8.39,Manga (10 vols),May 1973 - Sep 1974
200,Yagate Kimi ni Naru: Saeki Sayaka ni Tsuite,8.39,Light Novel (3 vols),Nov 2018 - Mar 2020
201,The Breaker: New Waves,8.39,Manhwa (20 vols),Oct 2010 - May 2015
202,Boku dake ga Inai Machi,8.39,Manga (9 vols),Jun 2012 - Nov 2016
203,SQ: Begin W/Your Name!,8.38,Manhua (1 vols),Oct 2015 - Oct 2015
204,Yuru Camp△,8.38,Manga (? vols),May 2015 -
205,Fumetsu no Anata e,8.38,Manga (? vols),Nov 2016 -
206,xxxHOLiC,8.38,Manga (19 vols),Feb 2003 - Feb 2011
207,Cardcaptor Sakura,8.38,Manga (12 vols),May 1996 - Jul 2000
208,SKET Dance,8.38,Manga (32 vols),Jul 2007 - Jul 2013
209,Ballroom e Youkoso,8.38,Manga (? vols),Nov 2011 -
210,Omniscient Reader,8.38,Manhwa (? vols),May 2020 -
211,Shadows House,8.37,Manga (? vols),Sep 2018 -
212,Hirano to Kagiura,8.37,Manga (? vols),Mar 2019 -
213,Bungou Stray Dogs,8.37,Light Novel (? vols),Apr 2014 -
214,Machida-kun no Sekai,8.37,Manga (7 vols),Jun 2013 - Apr 2018
215,Umineko no Naku Koro ni Chiru,8.37,Light Novel (7 vols),Jul 2012 - Sep 2018
216,Mahoutsukai no Yome,8.36,Manga (? vols),Nov 2013 -
217,Adachi to Shimamura,8.36,Light Novel (? vols),Oct 2012 -
218,Wotaku ni Koi wa Muzukashii,8.36,Manga (11 vols),Apr 2015 - Jul 2021
219,Kanata kara,8.36,Manga (14 vols),Sep 1991 - Jan 2003
220,Nichijou,8.36,Manga (? vols),Jun 2006 -
221,Daichouhen Doraemon,8.36,Manga (24 vols),Jan 1980 - Mar 2004
222,Umineko no Naku Koro ni - Episode 3: Banquet of the Golden Witch,8.36,Manga (5 vols),Sep 2009 - Jun 2011
223,Durarara!!,8.36,Light Novel (13 vols),Apr 2004 - Jan 2014
224,Lovely★Complex,8.35,Manga (17 vols),Aug 2001 - Aug 2007
225,Shin Angyo Onshi,8.35,Manga (17 vols),Mar 2001 - Aug 2007
226,Konjiki no Gash!!,8.35,Manga (33 vols),Jan 2001 - Dec 2007
227,Homunculus,8.35,Manga (15 vols),Mar 2003 - Feb 2011
228,Saikyou Densetsu Kurosawa,8.35,Manga (11 vols),Jan 2003 - Sep 2006
229,Boy Meets Maria,8.35,Manga (1 vols),Oct 2017 - Aug 2018
230,Mo Dao Zu Shi,8.35,Manhua (? vols),Dec 2017 -
231,Re:Zero kara Hajimeru Isekai Seikatsu Ex,8.35,Light Novel (? vols),Jun 2015 -
232,Ookami Kodomo no Ame to Yuki,8.35,Manga (3 vols),Apr 2012 - Aug 2013
233,Azumanga Daioh,8.34,Manga (4 vols),Jan 1999 - Mar 2002
234,Versailles no Bara,8.34,Manga (10 vols),1972 - 1973
235,Piano no Mori,8.34,Manga (26 vols),Aug 1998 - Nov 2015
236,Dungeon Meshi,8.34,Manga (? vols),Feb 2014 -
237,Koko wa Ima kara Rinri desu.,8.34,Manga (? vols),Oct 2016 -
238,Toshokan no Daimajutsushi,8.34,Manga (? vols),Nov 2017 -
239,Kieta Hatsukoi,8.33,Manga (9 vols),Jun 2019 - Jun 2022
240,Gakuen Alice,8.33,Manga (31 vols),Sep 2002 - Jun 2013
241,Mars,8.33,Manga (15 vols),Jan 1996 - Nov 2000
242,Full Metal Panic! Sigma,8.33,Manga (19 vols),Apr 2005 - Sep 2013
243,Touch,8.33,Manga (26 vols),Aug 1981 - Nov 1986
244,Black Jack,8.33,Manga (25 vols),Nov 1973 - Oct 1983
245,Gin no Saji,8.33,Manga (15 vols),Apr 2011 - Nov 2019
246,Orange,8.33,Manga (6 vols),Mar 2012 - Jan 2017
247,Canis Series,8.33,Manga (? vols),Jun 2012 -
248,Mushishi Tokubetsu-hen: Hihamukage,8.33,Manga (1 vols),Nov 2013 - Dec 2013
249,Shiori Experience: Jimi na Watashi to Hen na Ojisan,8.32,Manga (? vols),Oct 2013 -
250,Sora wa Akai Kawa no Hotori,8.32,Manga (28 vols),Jan 1995 - Jun 2002
251,Ten: Tenhou-doori no Kaidanji,8.32,Manga (18 vols),Aug 1989 - Apr 2002
252,Death Note Another Note: Los Angeles BB Renzoku Satsujin Jiken,8.32,Novel (1 vols),Aug 2006 - Aug 2006
253,Love So Life,8.32,Manga (17 vols),Apr 2008 - Jul 2015
254,Kage no Jitsuryokusha ni Naritakute!,8.32,Light Novel (? vols),Nov 2018 -
255,Sakamichi no Apollon: Bonus Track,8.32,Manga (1 vols),Mar 2012 - Jul 2012
256,Youjo Senki,8.32,Manga (? vols),Apr 2016 -
257,Mairimashita! Iruma-kun,8.32,Manga (? vols),Mar 2017 -
258,Tokyo卍Revengers,8.32,Manga (? vols),Mar 2017 -
259,Naruto Shinden Series,8.31,Light Novel (3 vols),Sep 2015 - Nov 2015
260,Totsukuni no Shoujo,8.31,Manga (11 vols),Sep 2015 - Mar 2021
261,Tsubasa: RESERVoir CHRoNiCLE,8.31,Manga (28 vols),May 2003 - Oct 2009
262,Tokyo Crazy Paradise,8.31,Manga (19 vols),Dec 1996 - Apr 2002
263,Angel Densetsu,8.31,Manga (15 vols),May 1992 - Feb 2000
264,Buddha,8.31,Manga (14 vols),Sep 1972 - Nov 1983
265,Liar Game,8.31,Manga (19 vols),Feb 2005 - Jan 2015
266,Komatta Toki ni wa Hoshi ni Kike,8.31,Manga (26 vols),Mar 1997 - May 2005
267,Dengeki Daisy,8.31,Manga (16 vols),May 2007 - Dec 2013
268,Hana to Akuma,8.31,Manga (10 vols),Oct 2007 - Nov 2010
269,Doukyuusei,8.31,Manga (1 vols),Jul 2006 - Jul 2007
270,Gakuen Babysitters,8.31,Manga (? vols),Sep 2009 -
271,Eleceed,8.31,Manhwa (? vols),Oct 2018 -
272,Fate/strange Fake,8.31,Light Novel (? vols),Jan 2015 -
273,Annarasumanara,8.31,Manhwa (3 vols),Jul 2010 - Dec 2010
274,Gochuumon wa Usagi desu ka?,8.31,Manga (? vols),Jan 2011 -
275,Mo Dao Zu Shi,8.31,Novel (4 vols),Dec 2016 - Dec 2016
276,Ojisama to Neko,8.30,Manga (? vols),Jun 2017 -
277,Kodomo no Omocha,8.30,Manga (10 vols),Jul 1994 - Oct 1998
278,Blame!,8.30,Manga (10 vols),Jan 1997 - Jul 2003
279,Hellsing,8.30,Manga (10 vols),Apr 1997 - Sep 2008
280,Planetes,8.30,Manga (4 vols),Jan 1999 - Jan 2004
281,Claymore,8.30,Manga (27 vols),May 2001 - Oct 2014
282,Higurashi no Naku Koro ni Kai: Meakashi-hen,8.30,Manga (4 vols),Jun 2006 - Feb 2008
283,Higurashi no Naku Koro ni Kai: Tsumihoroboshi-hen,8.30,Manga (4 vols),Jun 2006 - Apr 2008
284,Takemitsuzamurai,8.30,Manga (8 vols),Aug 2006 - Mar 2010
285,Yomawari Sensei,8.30,Manga (9 vols),Oct 2004 - Dec 2008
286,Saiki Kusuo no Ψ-nan,8.30,Manga (26 vols),May 2012 - Jul 2018
287,Kengan Ashura,8.30,Manga (27 vols),Apr 2012 - Aug 2018
288,Chichi to Hige-Gorilla to Watashi,8.30,Manga (7 vols),Feb 2011 - Nov 2018
289,The Fable,8.29,Manga (22 vols),Nov 2014 - Nov 2019
290,Taishou Otome Otogibanashi,8.29,Manga (5 vols),Jul 2015 - Sep 2017
291,Beastars,8.29,Manga (22 vols),Sep 2016 - Oct 2020
292,No.6,8.29,Manga (9 vols),Jan 2011 - Nov 2013
293,D.Gray-man,8.29,Manga (? vols),May 2004 -
294,Hanazakari no Kimitachi e,8.29,Manga (23 vols),Aug 1996 - Aug 2004
295,Petshop of Horrors,8.29,Manga (10 vols),1995 - 1998
296,Hachimitsu to Clover,8.29,Manga (10 vols),Apr 2000 - Jul 2006
297,Detective Conan,8.29,Manga (? vols),Jan 1994 -
298,Higurashi no Naku Koro ni Kai: Minagoroshi-hen,8.29,Manga (6 vols),Jun 2008 - Jun 2010
299,Private Opinion: Banana Fish Another Story,8.29,Manga (1 vols),Dec 1995 - Dec 1995
300,Paradise Kiss,8.28,Manga (5 vols),Mar 1999 - Mar 2003
301,Black Lagoon,8.28,Manga (? vols),Apr 2002 -
302,Magi,8.28,Manga (37 vols),Jun 2009 - Oct 2017
303,Blue Giant,8.28,Manga (10 vols),May 2013 - Aug 2016
304,Violet Evergarden Gaiden,8.28,Light Novel (1 vols),Mar 2018 - Mar 2018
305,Skip to Loafer,8.28,Manga (? vols),Aug 2018 -
306,Teito Seihai Kitan: Fate/type Redline,8.28,Manga (? vols),Dec 2019 -
307,Sweet Home,8.28,Manhwa (12 vols),Oct 2017 - Jul 2020
308,Sword Art Online: Progressive,8.28,Light Novel (? vols),Oct 2012 -
309,Koimonogatari,8.28,Manga (? vols),May 2013 -
310,Kimetsu no Yaiba,8.28,Manga (23 vols),Feb 2016 - May 2020
311,Eden: It's an Endless World!,8.27,Manga (18 vols),Sep 1997 - Jun 2008
312,Saint Seiya: The Lost Canvas - Meiou Shinwa,8.27,Manga (25 vols),Sep 2006 - Apr 2011
313,Saiyuuki Gaiden,8.27,Manga (4 vols),May 1999 - May 2009
314,Kimi ni Todoke,8.27,Manga (30 vols),Aug 2005 - Nov 2017
315,Umineko no Naku Koro ni - Episode 4: Alliance of the Golden Witch,8.27,Manga (6 vols),Oct 2009 - Feb 2012
316,Shouwa Genroku Rakugo Shinjuu,8.27,Manga (10 vols),Mar 2010 - Jun 2016
317,Ansatsu Kyoushitsu,8.27,Manga (21 vols),Jul 2012 - Apr 2016
318,Hidamari ga Kikoeru: Limit,8.27,Manga (3 vols),Oct 2016 - Dec 2019
319,Jigokuraku,8.27,Manga (13 vols),Jan 2018 - Jan 2021
320,Nan Hao Shang Feng,8.27,Manhua (? vols),Apr 2021 -
321,Machikado Mazoku,8.26,Manga (? vols),Jun 2014 -
322,Hai to Gensou no Grimgar,8.26,Light Novel (? vols),Jun 2013 -
323,Kuragehime,8.26,Manga (17 vols),Oct 2008 - Aug 2017
324,Sunny,8.26,Manga (6 vols),Dec 2010 - Jul 2015
325,Feng Shen Ji II,8.26,Manhua (? vols),2011 - 2012
326,Feng Shen Ji III,8.26,Manhua (? vols),2012 - 2014
327,Silver Diamond,8.26,Manga (27 vols),Aug 2003 - May 2012
328,Cat Street,8.26,Manga (8 vols),Jul 2004 - Sep 2007
329,Toaru Majutsu no Index Gaiden: Toaru Kagaku no Railgun,8.26,Manga (? vols),Feb 2007 -
330,Ghost Hunt,8.25,Manga (12 vols),Dec 1997 - Sep 2010
331,Hourou Musuko,8.25,Manga (15 vols),Nov 2002 - Jul 2013
332,Sanctuary,8.25,Manga (12 vols),1990 - 1995
333,JoJo no Kimyou na Bouken Part 6: Stone Ocean,8.25,Manga (17 vols),Dec 1999 - Apr 2003
334,Akagami no Shirayuki-hime,8.25,Manga (? vols),Aug 2006 -
335,Kamigami no Itadaki,8.25,Manga (5 vols),Feb 2000 - Mar 2003
336,Toradora!,8.25,Light Novel (10 vols),Mar 2006 - Mar 2009
337,Yuru Yuri,8.25,Manga (? vols),Jun 2008 -
338,Act-age,8.25,Manga (12 vols),Jan 2018 - Aug 2020
339,Katanagatari,8.25,Light Novel (12 vols),Jan 2007 - Dec 2007
340,Taiyou no Ie,8.25,Manga (13 vols),Apr 2010 - May 2015
341,Rokka no Yuusha,8.25,Light Novel (6 vols),Aug 2011 - Jul 2015
342,Tokyo Ghoul:re,8.25,Manga (16 vols),Oct 2014 - Jul 2018
343,Tsurezure Children,8.24,Manga (12 vols),Aug 2014 - Jul 2018
