Rank,Title,Score,Chapters/Volumes,Published,Link
183,Song of the Long March,8.40,Manhua (? vols),Feb 2011 -,https://myanimelist.net/manga/42001/Song_of_the_Long_March
184,Koe no Katachi,8.40,One-shot (? vols),Jan 2011 - Jan 2011,https://myanimelist.net/manga/48621/Koe_no_Katachi
185,Kimi no Na wa.,8.40,Manga (3 vols),May 2016 - Jan 2017,https://myanimelist.net/manga/99314/Kimi_no_Na_wa
186,The Boxer,8.40,Manhwa (? vols),Dec 2019 - May 2022,https://myanimelist.net/manga/141120/The_Boxer
187,Dragon Ball,8.40,Manga (42 vols),Nov 1984 - May 1995,https://myanimelist.net/manga/42/Dragon_Ball
188,Basara,8.40,Manga (27 vols),Aug 1990 - May 1998,https://myanimelist.net/manga/974/Basara
189,Kaichou wa Maid-sama!,8.40,Manga (18 vols),Dec 2005 - Sep 2013,https://myanimelist.net/manga/2921/Kaichou_wa_Maid-sama
190,Tobaku Hakairoku Kaiji,8.40,Manga (13 vols),Nov 2000 - Apr 2004,https://myanimelist.net/manga/3573/Tobaku_Hakairoku_Kaiji
191,Juuni Kokuki,8.40,Light Novel (? vols),Jun 1992 -,https://myanimelist.net/manga/3807/Juuni_Kokuki
192,My Girl,8.40,Manga (5 vols),Jun 2006 - Sep 2010,https://myanimelist.net/manga/6164/My_Girl
193,Bakuman.,8.40,Manga (20 vols),Aug 2008 - Apr 2012,https://myanimelist.net/manga/9711/Bakuman
194,Toaru Majutsu no Index,8.40,Light Novel (22 vols),Apr 2004 - Oct 2010,https://myanimelist.net/manga/12854/Toaru_Majutsu_no_Index
