Rank,Title,Score,Episodes,Airing,Link
83,Shouwa Genroku Rakugo Shinjuu,8.58,TV (13 eps),Jan 2016 - Apr 2016,https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu
84,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.57,Movie (1 eps),Apr 2009 - Apr 2009,https://myanimelist.net/anime/4565/Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen
85,Yojouhan Shinwa Taikei,8.57,TV (11 eps),Apr 2010 - Jul 2010,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei
86,Fate/Zero 2nd Season,8.56,TV (12 eps),Apr 2012 - Jun 2012,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season
87,Fruits Basket 2nd Season,8.56,TV (25 eps),Apr 2020 - Sep 2020,https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season
88,Kimi no Suizou wo Tabetai,8.56,Movie (1 eps),Sep 2018 - Sep 2018,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai
89,Neon Genesis Evangelion: The End of Evangelion,8.55,Movie (1 eps),Jul 1997 - Jul 1997,https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion
90,Shoujo☆Kageki Revue Starlight Movie,8.55,Movie (1 eps),Jun 2021 - Jun 2021,https://myanimelist.net/anime/40664/Shoujo☆Kageki_Revue_Starlight_Movie
91,Zoku Natsume Yuujinchou,8.55,TV (13 eps),Jan 2009 - Mar 2009,https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou
92,Bakuman. 3rd Season,8.54,TV (25 eps),Oct 2012 - Mar 2013,https://myanimelist.net/anime/12365/Bakuman_3rd_Season
93,Haikyuu!! To the Top Part 2,8.54,TV (12 eps),Oct 2020 - Dec 2020,https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_Part_2
94,Kara no Kyoukai Movie 5: Mujun Rasen,8.54,Movie (1 eps),Aug 2008 - Aug 2008,https://myanimelist.net/anime/4282/Kara_no_Kyoukai_Movie_5__Mujun_Rasen
95,Kenpuu Denki Berserk,8.54,TV (25 eps),Oct 1997 - Apr 1998,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
96,Kimetsu no Yaiba,8.54,TV (26 eps),Apr 2019 - Sep 2019,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
97,Mushishi: Hihamukage,8.54,Special (1 eps),Jan 2014 - Jan 2014,https://myanimelist.net/anime/21329/Mushishi__Hihamukage
98,Slam Dunk,8.54,TV (101 eps),Oct 1993 - Mar 1996,https://myanimelist.net/anime/170/Slam_Dunk
99,Perfect Blue,8.53,Movie (1 eps),Feb 1998 - Feb 1998,https://myanimelist.net/anime/437/Perfect_Blue
100,Shingeki no Kyojin,8.53,TV (25 eps),Apr 2013 - Sep 2013,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin
101,Sora yori mo Tooi Basho,8.53,TV (13 eps),Jan 2018 - Mar 2018,https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho
102,Yakusoku no Neverland,8.53,TV (12 eps),Jan 2019 - Mar 2019,https://myanimelist.net/anime/37779/Yakusoku_no_Neverland
103,Yuru Camp△ Season 2,8.53,TV (13 eps),Jan 2021 - Apr 2021,https://myanimelist.net/anime/38474/Yuru_Camp△_Season_2
104,Gintama.: Porori-hen,8.53,TV (13 eps),Oct 2017 - Dec 2017,https://myanimelist.net/anime/35843/Gintama__Porori-hen
105,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.52,Movie (1 eps),Jan 2019 - Jan 2019,https://myanimelist.net/anime/33049/Fate_stay_night_Movie__Heavens_Feel_-_II_Lost_Butterfly
106,Fruits Basket: Prelude,8.52,Movie (1 eps),Feb 2022 - Feb 2022,https://myanimelist.net/anime/49310/Fruits_Basket__Prelude
107,Gintama Movie 1: Shinyaku Benizakura-hen,8.52,Movie (1 eps),Apr 2010 - Apr 2010,https://myanimelist.net/anime/7472/Gintama_Movie_1__Shinyaku_Benizakura-hen
108,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.52,TV (26 eps),Jan 2004 - Jan 2005,https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG
109,Nana,8.52,TV (47 eps),Apr 2006 - Mar 2007,https://myanimelist.net/anime/877/Nana
110,Steins;Gate 0,8.52,TV (23 eps),Apr 2018 - Sep 2018,https://myanimelist.net/anime/30484/Steins_Gate_0
111,One Punch Man,8.51,TV (12 eps),Oct 2015 - Dec 2015,https://myanimelist.net/anime/30276/One_Punch_Man
112,Jujutsu Kaisen 0 Movie,8.51,Movie (1 eps),Dec 2021 - Dec 2021,https://myanimelist.net/anime/48561/Jujutsu_Kaisen_0_Movie
113,Ansatsu Kyoushitsu 2nd Season,8.50,TV (25 eps),Jan 2016 - Jul 2016,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season
114,Banana Fish,8.50,TV (24 eps),Jul 2018 - Dec 2018,https://myanimelist.net/anime/36649/Banana_Fish
115,Hotaru no Haka,8.50,Movie (1 eps),Apr 1988 - Apr 1988,https://myanimelist.net/anime/578/Hotaru_no_Haka
116,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.50,TV (39 eps),Apr 2016 - Dec 2016,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai
117,Samurai Champloo,8.50,TV (26 eps),May 2004 - Mar 2005,https://myanimelist.net/anime/205/Samurai_Champloo
118,Shingeki no Kyojin Season 2,8.50,TV (12 eps),Apr 2017 - Jun 2017,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2
119,Uchuu Kyoudai,8.50,TV (99 eps),Apr 2012 - Mar 2014,https://myanimelist.net/anime/12431/Uchuu_Kyoudai
120,Rainbow: Nisha Rokubou no Shichinin,8.49,TV (26 eps),Apr 2010 - Sep 2010,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin
121,Tian Guan Ci Fu Special,8.49,ONA (1 eps),Feb 2021 - Feb 2021,https://myanimelist.net/anime/44070/Tian_Guan_Ci_Fu_Special
