Rank,Title,Score,Episodes,Airing
422,Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,8.12,Special (1 eps),Apr 2015 - Apr 2015
423,Kono Subarashii Sekai ni Shukufuku wo!,8.12,TV (10 eps),Jan 2016 - Mar 2016
424,Koukaku Kidoutai: Stand Alone Complex - Solid State Society,8.12,Special (1 eps),Sep 2006 - Sep 2006
425,Kuragehime,8.12,TV (11 eps),Oct 2010 - Dec 2010
426,5-toubun no Hanayome ∬,8.11,TV (12 eps),Jan 2021 - Mar 2021
427,Baccano! Specials,8.11,Special (3 eps),Feb 2008 - May 2008
428,Diamond no Ace,8.11,TV (75 eps),Oct 2013 - Mar 2015
429,Douluo Dalu: Xingdou Xian Ji Pian,8.11,ONA (13 eps),Aug 2020 - Nov 2020
430,Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,8.11,Special (1 eps),Nov 2015 - Nov 2015
431,Haikyuu!! Movie 3: Sainou to Sense,8.11,Movie (1 eps),Sep 2017 - Sep 2017
432,Mobile Suit Gundam Unicorn,8.11,OVA (7 eps),Mar 2010 - Jun 2014
433,One Piece Film: Strong World,8.11,Movie (1 eps),Dec 2009 - Dec 2009
434,Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,8.11,ONA (6 eps),Dec 2019 - Dec 2019
435,Sakura-sou no Pet na Kanojo,8.11,TV (24 eps),Oct 2012 - Mar 2013
436,Shokugeki no Souma: Ni no Sara,8.11,TV (13 eps),Jul 2016 - Sep 2016
437,Uchouten Kazoku 2,8.11,TV (12 eps),Apr 2017 - Jun 2017
438,No Game No Life,8.10,TV (12 eps),Apr 2014 - Jun 2014
439,Quanzhi Gaoshou: Dianfeng Rongyao,8.10,Movie (1 eps),Aug 2019 - Aug 2019
440,Tokyo Revengers,8.10,TV (24 eps),Apr 2021 - Sep 2021
441,Toradora!,8.10,TV (25 eps),Oct 2008 - Mar 2009
442,Tsubasa: Shunraiki,8.10,OVA (2 eps),Mar 2009 - May 2009
443,Tsukimonogatari,8.10,TV (4 eps),Dec 2014 - Dec 2014
444,Zankyou no Terror,8.10,TV (11 eps),Jul 2014 - Sep 2014
445,Akatsuki no Yona OVA,8.10,OVA (3 eps),Sep 2015 - Dec 2016
446,Ansatsu Kyoushitsu,8.10,TV (22 eps),Jan 2015 - Jun 2015
447,Ao Ashi,8.10,TV (24 eps),Apr 2022 -
448,Douluo Dalu: Hanhai Qian Kun,8.10,ONA (13 eps),Nov 2020 - Feb 2021
449,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,8.10,TV (24 eps),Apr 2014 - Sep 2014
450,Kanata no Astra,8.10,TV (12 eps),Jul 2019 - Sep 2019
451,Kaze Tachinu,8.10,Movie (1 eps),Jul 2013 - Jul 2013
452,Kuroko no Basket: Saikou no Present Desu,8.10,Special (1 eps),Dec 2015 - Dec 2015
453,Douluo Dalu: Qian Hua Xi Jin,8.09,ONA (13 eps),Feb 2020 - May 2020
454,Gin no Saji,8.09,TV (11 eps),Jul 2013 - Sep 2013
455,Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,8.09,Movie (1 eps),Dec 1993 - Dec 1993
456,Hajime no Ippo: Boxer no Kobushi,8.09,Special (1 eps),Mar 2003 - Mar 2003
457,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,8.09,TV (10 eps),Apr 2022 - Jun 2022
458,Hyouka,8.09,TV (22 eps),Apr 2012 - Sep 2012
459,Mirai Shounen Conan,8.09,TV (26 eps),Apr 1978 - Oct 1978
460,Mobile Suit Gundam 00 Second Season,8.09,TV (25 eps),Oct 2008 - Mar 2009
461,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,8.09,OVA (13 eps),Feb 2011 - Jul 2011
462,Skip Beat!,8.09,TV (25 eps),Oct 2008 - Mar 2009
463,Mairimashita! Iruma-kun 2nd Season,8.08,TV (21 eps),Apr 2021 - Sep 2021
464,Stand By Me Doraemon,8.08,Movie (1 eps),Aug 2014 - Aug 2014
465,Tsuki ga Kirei,8.08,TV (12 eps),Apr 2017 - Jun 2017
466,World Trigger 2nd Season,8.08,TV (12 eps),Jan 2021 - Apr 2021
467,Yowamushi Pedal: Grande Road,8.08,TV (24 eps),Oct 2014 - Mar 2015
468,Yuusha-Ou GaoGaiGar Final,8.08,OVA (8 eps),Jan 2000 - Mar 2003
469,Boku no Hero Academia 3rd Season,8.08,TV (25 eps),Apr 2018 - Sep 2018
470,Detective Conan Movie 18: The Sniper from Another Dimension,8.08,Movie (1 eps),Apr 2014 - Apr 2014
471,Douluo Dalu: Jingying Sai,8.08,ONA (52 eps),Dec 2018 - Nov 2019
472,Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,8.08,Special (1 eps),Sep 2005 - Sep 2005
473,Hikaru no Go,8.08,TV (75 eps),Oct 2001 - Mar 2003
474,Initial D Fifth Stage,8.08,TV (14 eps),Nov 2012 - May 2013
475,Kamisama Hajimemashita,8.08,TV (13 eps),Oct 2012 - Dec 2012
476,Karakai Jouzu no Takagi-san 2,8.08,TV (12 eps),Jul 2019 - Sep 2019
477,Koukaku Kidoutai: Stand Alone Complex - The Laughing Man,8.08,Special (1 eps),Sep 2005 - Sep 2005
478,Kuroko no Basket Movie 4: Last Game,8.08,Movie (1 eps),Mar 2017 - Mar 2017
479,Kuroshitsuji: Book of Circus,8.08,TV (10 eps),Jul 2014 - Sep 2014
480,Angel Beats!,8.07,TV (13 eps),Apr 2010 - Jun 2010
481,Darker than Black: Kuro no Keiyakusha,8.07,TV (25 eps),Apr 2007 - Sep 2007
482,Detective Conan Movie 08: Magician of the Silver Sky,8.07,Movie (1 eps),Apr 2004 - Apr 2004
483,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,8.07,Movie (1 eps),Mar 2011 - Mar 2011
484,Dorohedoro,8.07,TV (12 eps),Jan 2020 - Mar 2020
485,Douluo Dalu: Haishen Zhi Guang,8.07,ONA (13 eps),Feb 2021 - May 2021
486,Durarara!!x2 Ketsu,8.07,TV (12 eps),Jan 2016 - Mar 2016
487,Gintama: Dai Hanseikai,8.07,Special (1 eps),Mar 2010 - Mar 2010
488,Girls & Panzer: Saishuushou Part 2,8.07,Movie (1 eps),Jun 2019 - Jun 2019
489,Glass no Kamen (2005),8.07,TV (51 eps),Apr 2005 - Mar 2006
490,Hidamari Sketch: Sae Hiro Sotsugyou-hen,8.07,OVA (2 eps),Nov 2013 - Nov 2013
491,Hololive Alternative,8.07,ONA (2 eps),May 2021 - Jun 2022
492,Kuroko no Basket,8.07,TV (25 eps),Apr 2012 - Sep 2012
493,Kuroshitsuji: Book of Murder,8.07,OVA (2 eps),Jan 2015 - Feb 2015
494,Mahoutsukai no Yome,8.07,TV (24 eps),Oct 2017 - Mar 2018
495,Serial Experiments Lain,8.07,TV (13 eps),Jul 1998 - Sep 1998
496,Shijou Saikyou no Deshi Kenichi,8.07,TV (50 eps),Oct 2006 - Sep 2007
497,Omoide no Marnie,8.06,Movie (1 eps),Jul 2014 - Jul 2014
498,City Hunter 2,8.06,TV (63 eps),Apr 1988 - Jul 1989
499,Dennou Coil,8.06,TV (26 eps),May 2007 - Dec 2007
500,Ginga Eiyuu Densetsu Gaiden (1999),8.06,OVA (28 eps),Dec 1999 - Jul 2000
501,Gosick,8.06,TV (24 eps),Jan 2011 - Jul 2011
502,Koukyoushihen Eureka Seven,8.06,TV (50 eps),Apr 2005 - Apr 2006
503,Kyou kara Ore wa!!,8.06,OVA (10 eps),Apr 1993 - Dec 1997
504,Fate/stay night: Unlimited Blade Works Prologue,8.05,Special (1 eps),Oct 2014 - Oct 2014
505,Kodomo no Omocha (TV),8.05,TV (102 eps),Apr 1996 - Mar 1998
506,xxxHOLiC: Shunmuki,8.05,OVA (2 eps),Feb 2009 - Jun 2009
507,Yofukashi no Uta,8.05,TV (13 eps),Jul 2022 -
508,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV) 2nd Season,8.05,TV (13 eps),Jul 2022 -
509,Mobile Suit Gundam: Iron-Blooded Orphans,8.04,TV (25 eps),Oct 2015 - Mar 2016
510,Paprika,8.04,Movie (1 eps),Nov 2006 - Nov 2006
511,Saint Seiya: Meiou Hades Juuni Kyuu-hen,8.04,OVA (13 eps),Nov 2002 - Jul 2003
512,Summer Wars,8.04,Movie (1 eps),Aug 2009 - Aug 2009
