Rank,Title,Score,Episodes,Airing
7952,Fabre-sensei wa Meitantei,6.22,TV (26 eps),Apr 2000 - Oct 2000
7953,fake!fake!,6.22,Music (1 eps),Apr 2014 - Apr 2014
7954,Gin no Guardian,6.22,TV (12 eps),Apr 2017 - Jun 2017
7955,Giniro no Olynsis: Tokito,6.22,TV (12 eps),Oct 2006 - Dec 2006
7956,Goblin Slayer: Bouken Kiroku Youshi - Adventure Sheet,6.22,Special (1 eps),Dec 2018 - Dec 2018
7957,Hensuki▽,6.22,TV (12 eps),Jul 2019 - Sep 2019
7958,Himiko-den,6.22,TV (12 eps),Jan 1999 - Apr 1999
7959,King of Prism by Pretty Rhythm,6.22,Movie (1 eps),Jan 2016 - Jan 2016
7960,Kyoushoku Soukou Guyver,6.22,Movie (1 eps),Dec 1986 - Dec 1986
7961,Kyuukyoku Choujin R,6.22,OVA (1 eps),Oct 1991 - Oct 1991
7962,Let's Nupu Nupu,6.22,TV (16 eps),Oct 1998 - Nov 1998
7963,Line Town,6.22,TV (50 eps),Apr 2013 - Mar 2014
7964,Maken-Ki! Two Specials,6.22,Special (5 eps),Mar 2014 - Jul 2014
7965,Miss Monochrome The Animation: Manager,6.22,OVA (1 eps),May 2014 - May 2014
7966,Miss Monochrome The Animation: Soccer-hen,6.22,ONA (1 eps),Jun 2014 - Jun 2014
7967,Mobile Suit SD Gundam Mk I,6.22,Special (3 eps),Mar 1988 - May 1988
7968,Moom,6.22,Movie (1 eps),Mar 2016 - Mar 2016
7969,Nana Toshi Monogatari: Hokkyokukai Sensen,6.22,OVA (2 eps),Jun 1994 - Jun 1994
7970,Oniichan dakedo Ai sae Areba Kankeinai yo ne! Specials,6.22,Special (6 eps),Dec 2012 - May 2013
7971,Qin Shi Mingyue: Bai Bu Fei Jian,6.22,TV (10 eps),Feb 2007 - Feb 2007
7972,Rhea Gall Force,6.22,OVA (1 eps),Mar 1989 - Mar 1989
7973,Shampoo no Nioi ga Shita,6.22,Music (1 eps),Apr 2018 - Apr 2018
7974,Shi Wan Ge Leng Xiaohua,6.22,ONA (12 eps),Jul 2012 - Aug 2013
7975,Shin Koihime†Musou: Otome Tairan OVA Omake,6.22,Special (1 eps),Feb 2011 - Feb 2011
